Date màj;Code lieu;Code station;Nom station;Code équipement;Type équipement;Equipement;Début indispo;Cause;Conséquence;Fin indispo
2024-10-23 03:54:00;5102;21;Charpennes;213;ASCENSEUR;du quai direction St-Genis-Laval Hôpital Lyon Sud, correspondance ligne A direction Perrache par le couloir de liaison, accès Place Charles Hernu.;2024-10-03;Panne;Accès direct ligne B direction Gare d'Oullins impossible. Emprunter l'ascenseur numéro 211 de la ligne A quai direction Perrache et revenir par le couloir de liaison;2024-11-15 08:30:00
2024-10-23 03:54:00;5220;47;Debourg;4701;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2024-06-06;Panne;.;2024-11-09 22:30:00
2024-10-23 03:54:00;5220;47;Debourg;4702;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2024-10-21;Panne;.;2024-11-21 19:00:00
2024-10-23 03:54:00;5904;50;Gare d'Oullins;503;ASCENSEUR;correspondance entre la mezzanine et la rue côté Quai 1;2024-10-22;Panne;Accès à la station et accès SNCF impossibles;2024-10-24 20:30:00
2024-10-23 03:54:00;5520;42;Gare Part-Dieu V.Merle;4203;ESCALIER;de la mezzanine niveau centre commercial jusqu'au quai direction St-Genis-Laval Hôpital Lyon Sud;2024-10-19;Panne;.;2024-11-02 10:00:00
2024-10-23 03:54:00;5221;46;Place Jean Jaurès;4601;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2024-10-09;Panne;.;2024-10-23 10:00:00
2024-10-23 03:54:00;5221;46;Place Jean Jaurès;4602;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2024-10-13;Panne;.;2024-11-15 16:00:00
2024-10-23 03:54:00;5002;26;Bellecour;2612;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour;2024-07-25;Panne;.;2024-12-08 14:30:00
2024-10-23 03:54:00;5041;74;Grange Blanche;7406;ESCALIER;de la mezzanine jusqu'à la sortie place d' Arsonval (départ bus);2024-09-06;Entretien programmé;.;2024-11-06 13:30:00
2024-10-23 03:54:00;5062;73;Laennec;732;ASCENSEUR;direction Gare de Vénissieux, accès rue Guillaume Paradin;2024-10-22;Panne; Accès impossible direction Gare de Vénissieux;2024-10-24 02:00:00
2024-10-23 03:54:00;5094;83;Valmy;8303;ESCALIER;du quai central jusqu'à la mezzanine (sortie côté rue Sergent Michel Berthet);2024-10-22;Panne;.;2024-11-04 23:30:00
2024-10-23 03:54:00;5095;81;Vieux Lyon;8107;ESCALIER;de la mezzanine niveau -3 (correspondance ligne D direction Gare de Vaise ou Gare de Vénissieux) jusqu'à la mezzanine niveau Point Contact, accès rue du Doyenné.;2023-12-30;Panne;.;2024-12-01 22:00:00
2024-10-23 03:54:00;5906;97;Manufacture Montluc;9701;ESCALIER;Liaison entre les quais d'arrivée et de départ;2024-10-17;Panne;. ;2024-10-23 18:30:00
2024-10-23 03:54:00;5021;25;Cordeliers;2502;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place des Cordeliers;2024-10-22;Entretien programmé;.;2024-10-24 23:30:00
2024-10-23 03:54:00;5081;22;Masséna;222;ASCENSEUR;direction Vaulx-en-Velin La Soie et accès cours Vitton;2024-10-21;Panne;Accès impossible direction Vaulx-en-Velin La Soie;2024-10-25 22:00:00
