Date màj;Code lieu;Code station;Nom station;Code équipement;Type équipement;Equipement;Début indispo;Cause;Conséquence;Fin indispo
2024-10-23 06:09:00;5102;21;Charpennes;213;ASCENSEUR;du quai direction St-Genis-Laval Hôpital Lyon Sud, correspondance ligne A direction Perrache par le couloir de liaison, accès Place Charles Hernu.;2024-10-03;Panne;Accès direct ligne B direction Gare d'Oullins impossible. Emprunter l'ascenseur numéro 211 de la ligne A quai direction Perrache et revenir par le couloir de liaison;2024-11-15 08:30:00
2024-10-23 06:09:00;5102;21;Charpennes;2102;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie angle cours Emile Zola / rue des Emeraudes;2024-10-23;Panne;.;2024-10-23 07:30:00
2024-10-23 06:09:00;5220;47;Debourg;471;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès avenue Jean Jaurès;2024-10-23;Panne;Accès impossible direction Gare d'Oullins;2024-10-23 07:00:00
2024-10-23 06:09:00;5220;47;Debourg;472;ASCENSEUR;direction Charpennes et accès avenue Jean Jaurès;2024-10-23;Panne; Accès impossible direction Charpennes;2024-10-23 07:00:00
2024-10-23 06:09:00;5220;47;Debourg;4701;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2024-06-06;Panne;.;2024-11-09 22:30:00
2024-10-23 06:09:00;5220;47;Debourg;4702;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2024-10-21;Panne;.;2024-11-21 19:00:00
2024-10-23 06:09:00;5904;50;Gare d'Oullins;503;ASCENSEUR;correspondance entre la mezzanine et la rue côté Quai 1;2024-10-22;Panne;Accès à la station et accès SNCF impossibles;2024-10-24 20:30:00
2024-10-23 06:09:00;5904;50;Gare d'Oullins;502;ASCENSEUR;correspondance entre la mezzanine et le quai de départ direction Charpennes;2024-10-23;Panne;Accès impossible direction Charpennes;2024-10-23 07:00:00
2024-10-23 06:09:00;5520;42;Gare Part-Dieu V.Merle;422;ASCENSEUR;direction Charpennes, correspondance avec la gare SNCF et accès Bd Vivier Merle;2024-10-23;Panne;Accès impossible direction Charpennes;2024-10-23 07:00:00
2024-10-23 06:09:00;5520;42;Gare Part-Dieu V.Merle;421;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud, correspondance avec la gare SNCF et accès Bd Vivier Merle;2024-10-23;Panne;Accès impossible direction Gare d'Oullins;2024-10-23 07:00:00
2024-10-23 06:09:00;5520;42;Gare Part-Dieu V.Merle;4203;ESCALIER;de la mezzanine niveau centre commercial jusqu'au quai direction St-Genis-Laval Hôpital Lyon Sud;2024-10-19;Panne;.;2024-11-02 10:00:00
2024-10-23 06:09:00;5936;51;Oullins Centre;512;ASCENSEUR;entre le quai direction Charpennes et la mezzanine supérieure;2024-10-23;Panne;connexion impossible entre le quai direction Charpennes et la mezzanine supérieure;2024-10-23 07:00:00
2024-10-23 06:09:00;5936;51;Oullins Centre;511;ASCENSEUR;entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2024-10-23;Panne;connexion impossible entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2024-10-23 07:00:00
2024-10-23 06:09:00;5936;51;Oullins Centre;513;ASCENSEUR;entre la mezzanine supérieure et la place Anatole France;2024-10-23;Panne;connexion impossible entre la mezzanine supérieure et la place Anatole France, et correspondance impossible avec les ascenseurs reliant les quais et la mezzanine supérieure;2024-10-23 07:00:00
2024-10-23 06:09:00;5936;51;Oullins Centre;5105;ESCALIER;entre la mezzanine supérieure et la place Anatole France côté rue de la République;2024-10-23;Panne;emprunter l'autre escalier mécanique si disponible (escalier n°5107 entre la mezzanine supérieure et la place Anatole France côté rue Voltaire);2024-10-23 07:00:00
2024-10-23 06:09:00;5221;46;Place Jean Jaurès;461;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès avenue Jean Jaurès;2024-10-23;Panne;Accès impossible direction Gare d'Oullins;2024-10-23 07:00:00
2024-10-23 06:09:00;5221;46;Place Jean Jaurès;462;ASCENSEUR;direction Charpennes et accès avenue Jean Jaurès;2024-10-23;Panne; Accès impossible direction Charpennes;2024-10-23 07:00:00
2024-10-23 06:09:00;5221;46;Place Jean Jaurès;4601;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2024-10-09;Panne;.;2024-10-23 10:00:00
2024-10-23 06:09:00;5221;46;Place Jean Jaurès;4602;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2024-10-13;Panne;.;2024-11-15 16:00:00
2024-10-23 06:09:00;5200;48;Stade de Gerland Le LOU;481;ASCENSEUR;correspondance entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine;2024-10-23;Panne;Accès impossible direction Gare d'Oullins;2024-10-23 07:00:00
2024-10-23 06:09:00;5200;48;Stade de Gerland Le LOU;482;ASCENSEUR;correspondance entre la mezzanine et le quai direction Charpennes;2024-10-23;Panne; Accès impossible direction Charpennes;2024-10-23 07:00:00
2024-10-23 06:09:00;5200;48;Stade de Gerland Le LOU;4803;ESCALIER;de la mezzanine niveau Point Contact jusqu'à la sortie avenue Jean Jaurès;2024-10-23;Accès fermé pour travaux;.;2024-10-23 07:00:00
2024-10-23 06:09:00;5200;48;Stade de Gerland Le LOU;4802;ESCALIER;de la mezzanine niveau Point Contact jusqu'au quai direction Charpennes;2024-10-23;Panne;.;2024-10-23 07:00:00
2024-10-23 06:09:00;5937;52;St-Genis Hôp. Lyon Sud;522;ASCENSEUR;entre la surface et le quai direction Charpennes;2024-10-23;Panne;accès impossible au quai direction Charpennes;2024-10-23 07:00:00
2024-10-23 06:09:00;5937;52;St-Genis Hôp. Lyon Sud;521;ASCENSEUR;entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la surface;2024-10-23;Panne;sortie impossible de la station;2024-10-23 07:00:00
2024-10-23 06:09:00;5002;26;Bellecour;2612;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour;2024-07-25;Panne;.;2024-12-08 14:30:00
2024-10-23 06:09:00;5181;77;Garibaldi;7702;ESCALIER;du quai direction Gare de Vénissieux jusqu'à la mezzanine;2024-10-23;Panne;.;2024-10-23 07:30:00
2024-10-23 06:09:00;5040;82;Gorge de Loup;8205;ESCALIER;sortie Place Basse (côté agence commerciale) niveau Parc Relais, jusqu'à la mezzanine niveau départ gare de bus, rue Sergent Michel Berthet;2024-10-23;Accès fermé pour travaux;.;2024-10-23 07:30:00
2024-10-23 06:09:00;5041;74;Grange Blanche;7406;ESCALIER;de la mezzanine jusqu'à la sortie place d' Arsonval (départ bus);2024-09-06;Entretien programmé;.;2024-11-06 13:30:00
2024-10-23 06:09:00;5062;73;Laennec;732;ASCENSEUR;direction Gare de Vénissieux, accès rue Guillaume Paradin;2024-10-22;Panne; Accès impossible direction Gare de Vénissieux;2024-10-24 02:00:00
2024-10-23 06:09:00;5082;72;Mermoz - Pinel;722;ASCENSEUR;direction Gare de Vénissieux, accès Bd Pinel par le plan incliné;2024-10-23;Entretien programmé;Accès impossible direction Gare de Vénissieux;2024-10-23 07:30:00
