date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
11/02/2025;09:53;18/02/2025;11:00;T4;Manufacture;Esc. 9701;Cellule Dp NOK ;Panne;escalier;2025;169.11666666666667;7.046527777777778;9701.0
11/02/2025;13:25;31/03/2025;;D;Bellecour;Esc. 2601;MC HS+ Nervure HS + Piste galet de marches HS;CR DEKRA;escalier;2025;;;2601.0
11/02/2025;15:49;31/03/2025;;D;Bellecour;Esc. 2606;MC HS + Guide de mc HS + ;CR DEKRA;escalier;2025;;;2606.0
12/02/2025;12:37;13/02/2025;16:33;B;Part Dieu ;Esc. 4208 ;Nez de marche cassé;Mauvaise utilisation;escalier;2025;27.933333333333334;1.163888888888889;4208.0
12/02/2025;11:34;16/02/2025;11:44;D;Saxe gambetta ;Asc. 443 ;Contact fin de course haut HS ;CR DEKRA;ascenseur;2025;96.16666666666667;4.006944444444445;443.0
12/02/2025;18:38;25/03/2025;;A;Charpennes ;Asc. 212;Oxydation cables de levage + poulie d'adherence HS ;Usure;ascenseur;2025;;;212.0
12/02/2025;23:10;15/02/2025;14:40;D;Valmy;Esc. 8301;Defaut peigne - contact NOK;Panne;escalier;2025;63.5;2.6458333333333335;8301.0
13/02/2025;11:05;13/03/2025;16:00;B;Part Dieu ;Asc. 422;Oxydation cables de levage + poulie d'adherence HS ;Usure;ascenseur;2025;676.9166666666666;28.20486111111111;422.0
13/02/2025;15:47;17/02/2025;15:40;D;Grange Blanche;Asc. 743;Galet de serrure HS + porte bloquée n-1;Usure;ascenseur;2025;95.88333333333334;3.995138888888889;743.0
13/02/2025;22:05;17/02/2025;21:35;A;Cordeliers;Asc. 252;VF HS;Usure;ascenseur;2025;95.5;3.9791666666666665;252.0
14/02/2025;17:59;17/02/2025;10:00;B;Part Dieu ;Esc. 4208 ;Defaut rupture de chaine + Frein bloquant ;Panne;escalier;2025;64.01666666666667;2.667361111111111;4208.0
15/02/2025;17:30;20/02/2025;14:00;D;Gare de Vénissieux ;Esc. 7003;Defaut plaque porte peigne + Affaissement ;Usure;escalier;2025;116.5;4.854166666666667;7003.0
20/02/2025;23:20;06/04/2025;;B;Jean jaurés ;Asc. 462;Cellule porte HS + cable NOK + guide de chape et fixation tordeus ;;ascenseur;2025;;;462.0
21/02/2025;09:30;23/02/2025;12:26;A;Charpennes ;Esc. 2101;GALET DE MARCHE BAS DROIT HS;Usure;escalier;2025;50.93333333333333;2.1222222222222222;2101.0
21/02/2025;17:21;03/03/2025;16:00;B;Oullins Centre ;Asc. 513;PROBLEME PORTE NIVEAU RUE;Panne;ascenseur;2025;238.65;9.94375;513.0
22/02/2025;;17/03/2025;05:50;F;Fourvière;Asc. 911;Travaux de maintenance annuelle du funiculaire ;;ascenseur;2025;;;911.0
22/02/2025;11:55;31/03/2025;;D;Gare de Vénissieux ;Esc. 7001;DEFAUT MOTEUR + HUILE;Panne;escalier;2025;;;7001.0
23/02/2025;12:00;05/03/2025;14:50;D;Guillotière;Esc 7901;Chaine anti derive detendu à remplacer ;Usure;escalier;2025;242.83333333333334;10.118055555555555;7901.0
25/02/2025;14:30;15/04/2025;;D;Laennec;Esc 7301;Jeux entre maches et plinthes 9mm;CR DEKRA;escalier;2025;;;7301.0
26/02/2025;08:00;27/02/2025;16:00;D;Gare de Vénissieux ;Esc. 7003;Contact de peigne NOK;Panne;escalier;2025;32.0;1.3333333333333333;7003.0
26/02/2025;09:15;28/02/2025;15:56;D;Garibaldi;Esc. 7704;AFFAISSEMENT DE MARCHE;Panne;escalier;2025;54.68333333333333;2.2784722222222222;7704.0
26/02/2025;18:45;01/03/2025;18:40;T4;Manufacture;Esc. 9701;Ne demarre pas à distance pb DP;Panne;escalier;2025;71.91666666666667;2.996527777777778;9701.0
