date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
02/04/2024;09:47;01/06/2024;05:30;A;Bellecour;Esc. 2610;Empilement de marches;Panne;escalier;2024;1435.7166666666667;59.82152777777778;2610.0
03/04/2024;08:30;30/04/2024;12:45;D;Gare de Vaise;Esc. 8404;FM935 - Remplacement armoire de commandes;Amélioration;escalier;2024;652.25;27.177083333333332;8404.0
04/04/2024;16:25;08/04/2024;11:38;B;Oullins Centre ;Esc. 5105;"MC bloquée - probleme depuis la mise en route
idem sur 5107 OCE ";Panne;escalier;2024;91.21666666666667;3.8006944444444444;5105.0
04/04/2024;10:44;09/04/2024;18:00;D;Guillotière ;Esc. 7904;Main courante cassée ;Usure;escalier;2024;127.26666666666667;5.302777777777778;7904.0
05/04/2024;13:48;08/04/2024;10:27;T4;Manufacture ;Asc. 971;Court circuit sur chaine de sécurité ;Panne;ascenseur;2024;68.65;2.860416666666667;971.0
05/04/2024;19:00;28/06/2024;;A;Foch;Esc. 2302;Chaine de marche + roulements arbre principal HS;Panne;escalier;2024;;;2302.0
05/04/2024;14:57;08/04/2024;11:23;D;Valmy;Esc. 8303;Bobines de frein principal et secours HS ;Panne;escalier;2024;68.43333333333334;2.851388888888889;8303.0
05/04/2024;07:35;08/04/2024;10:35;T4;Manufacture ;Esc. 9701 ;Problemes DP ;Panne;escalier;2024;75.0;3.125;9701.0
08/04/2024;06:55;08/04/2024;20:20;B;Gerland;"Asc.
481/482/483";Maintenance UMEQ téléphonie;Amélioration;ascenseur;2024;13.416666666666666;0.5590277777777778;481.0
09/04/2024;13:57;10/04/2024;06:00;D;Valmy;Esc. 8303;Remplacement main courante ;Usure;escalier;2024;16.05;0.6687500000000001;8303.0
10/04/2024;16:47;17/05/2024;;A;Brotteaux;Asc. 412;Problèmes de codeur moteur et de VF + moteur à remplacer ;Panne;ascenseur;2024;;;412.0
10/04/2024;15:57;15/04/2024;18:33;B;Jean jaures;Asc. 462;Nombreux relais HS;Panne;ascenseur;2024;122.6;5.108333333333333;462.0
10/04/2024;06:00;10/04/2024;15:53;D;Valmy;Esc. 8301;Remplacement main courante ;Usure;escalier;2024;9.883333333333333;0.41180555555555554;8301.0
11/04/2024;12:45;12/04/2024;10:26;B;Oullins Centre ;Esc. 5105;"Problème MC - probleme depuis la mise en route
idem sur 5107 OCE ";Panne;escalier;2024;21.683333333333334;0.9034722222222222;5105.0
13/04/2024;01:50;14/04/2024;19:48;A;Charpennes;Asc. 212;Défaut porte;Panne;ascenseur;2024;41.96666666666667;1.7486111111111111;212.0
13/04/2024;16:52;17/04/2024;10:47;C;Croix rousse;Asc. 572;Galets des portes palières HS + reglages;Usure;ascenseur;2024;89.91666666666667;3.746527777777778;572.0
16/04/2024;00:24;10/07/2024;;B;Oullins Centre ;Esc. 5107;"Pb adherence MC probleme depuis mise en route
idem sur 5105 OCE ";Panne;escalier;2024;;;5107.0
16/04/2024;00:52;18/04/2024;05:24;D;Valmy;Esc. 8301;Probleme disjonction;Panne;escalier;2024;52.53333333333333;2.1888888888888887;8301.0
