ligne,arret,equipement_impacte,type_equipement,id,cause,remise_en_service,date,heure,execution_time
A,Laurent Bonnevay,Ascenseur n°169 Parc Relais,Ascenseur,169,Panne,Vendredi 25 avril 2025 à 11:30,2025/04/25,11:30,20250425-0931
A,Ampère - Victor Hugo,Escalier mécanique  du quai direction Vaulx-en-Velin La Soie  jusqu'à la sortie rue Victor HUGO,Escalier,,Panne,Vendredi 25 avril 2025 à 16:30,2025/04/25,16:30,20250425-0931
A,Flachet - Alain Gilles,"Ascenseur n°182 direction Vaulx-en-Velin La Soie, accès cours Emile Zola",Ascenseur,182,Panne,Mercredi 30 avril 2025 à 17:30,2025/04/30,17:30,20250425-0931
A,Flachet - Alain Gilles,Escalier mécanique  du quai direction Perrache jusqu'à la sortie cours Emile Zola,Escalier,,Panne,Dimanche 4 mai 2025 à 19:30,2025/05/04,19:30,20250425-0931
A,Flachet - Alain Gilles,Escalier mécanique  du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie cours Emile Zola,Escalier,,Panne,Vendredi 25 avril 2025 à 12:30,2025/04/25,12:30,20250425-0931
A,Bellecour,"Ascenseur n°261 direction Vaulx-en-Velin La Soie, correspondance ligne A direction Perrache et  ligne D, direction Gare de Vénissieux ou Gare de Vaise",Ascenseur,261,Panne,Mercredi 30 avril 2025 à 14:30,2025/04/30,14:30,20250425-0931
A,Bellecour,"Ascenseur n°263 direction Gare de Vaise ou Gare de Vénissieux, correspondance Ligne A direction Perrache ou Vaulx-en-Velin La Soie",Ascenseur,263,Panne,Mercredi 30 avril 2025 à 10:30,2025/04/30,10:30,20250425-0931
A,Bellecour,Escalier mécanique  du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour,Escalier,,Panne,Mercredi 30 avril 2025 à 19:30,2025/04/30,19:30,20250425-0931
A,Bellecour,Escalier mécanique  du by-pass de correspondance ligne D / ligne A jusqu'au quai ligne A direction Vaulx-en-Velin La Soie,Escalier,,Entretien programmé,Mercredi 30 avril 2025 à 15:30,2025/04/30,15:30,20250425-0931
A,Bellecour,Escalier mécanique  du quai central jusqu'à la mezzanine niveau Point Contact,Escalier,,Entretien programmé,Jeudi 15 mai 2025 à 08:30,2025/05/15,08:30,20250425-0931
A,Bellecour,Escalier mécanique  du quai central jusqu'à la mezzanine sud (côté Antonin Poncet),Escalier,,Panne,Mercredi 30 avril 2025 à 19:30,2025/04/30,19:30,20250425-0931
A,Bellecour,Escalier mécanique  du quai central jusqu'à la mezzanine sud (côté Antonin Poncet),Escalier,,Entretien programmé,Jeudi 15 mai 2025 à 14:00,2025/05/15,14:00,20250425-0931
A,Bellecour,Escalier mécanique  de la mezzanine sud (côté Antonin Poncet) jusqu'à la sortie place Antonin Poncet (face à la Poste),Escalier,,Entretien programmé,Mercredi 30 avril 2025 à 11:00,2025/04/30,11:00,20250425-0931
A,Cusset,"Ascenseur n°171 direction Perrache, accès mezzanine de correspondance direction Vaulx-en-Velin La Soie, accès cours Emile Zola",Ascenseur,171,Panne,Dimanche 27 avril 2025 à 17:30,2025/04/27,17:30,20250425-0931
A,Charpennes Charles Hernu,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la place Charles Hernu,Escalier,,Panne,Vendredi 25 avril 2025 à 17:30,2025/04/25,17:30,20250425-0931
