ligne,arret,equipement_impacte,type_equipement,id,cause,remise_en_service,date,heure,execution_time
A,Ampère - Victor Hugo,Escalier mécanique  du quai direction Vaulx-en-Velin La Soie  jusqu'à la sortie rue Victor HUGO,Escalier,,Panne,Dimanche 6 avril 2025 à 14:30,2025/04/06,14:30,20250318-1433
A,Bellecour,Escalier mécanique  du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour,Escalier,,Panne,Lundi 31 mars 2025 à 19:30,2025/03/31,19:30,20250318-1433
A,Bellecour,Escalier mécanique  du by-pass de correspondance ligne D / ligne A jusqu'au quai ligne A direction Vaulx-en-Velin La Soie,Escalier,,Entretien programmé,Lundi 31 mars 2025 à 15:30,2025/03/31,15:30,20250318-1433
A,Bellecour,Escalier mécanique  du quai central jusqu'à la mezzanine sud (côté Antonin Poncet),Escalier,,Panne,Lundi 31 mars 2025 à 19:30,2025/03/31,19:30,20250318-1433
A,Bellecour,Escalier mécanique  de la mezzanine sud (côté Antonin Poncet) jusqu'à la sortie place Antonin Poncet (face à la Poste),Escalier,,Entretien programmé,Lundi 31 mars 2025 à 11:00,2025/03/31,11:00,20250318-1433
A,Laurent Bonnevay,Ascenseur n°169 Parc Relais,Ascenseur,169,Panne,Mardi 18 mars 2025 à 16:30,2025/03/18,16:30,20250318-1433
A,Foch,Escalier mécanique  du quai  direction Vaulx-en-Velin La Soie  jusqu'à la sortie angle cours Franklin Roosevelt / avenue du Maréchal de Saxe,Escalier,,Panne,Lundi 31 mars 2025 à 17:30,2025/03/31,17:30,20250318-1433
A,Masséna,Ascenseur n°221 direction Perrache et accès cours Vitton,Ascenseur,221,Panne,Mardi 18 mars 2025 à 15:30,2025/03/18,15:30,20250318-1433
A,Charpennes Charles Hernu,"Ascenseur n°212 du quai direction Vaulx-en-Velin La Soie, correspondance ligne B direction Gare d'Oullins et accès cours Emile Zola",Ascenseur,212,Panne,Mardi 25 mars 2025 à 17:30,2025/03/25,17:30,20250318-1433
A,Cordeliers,Ascenseur n°251 direction Perrache et accès place des Cordeliers,Ascenseur,251,Panne,Lundi 31 mars 2025 à 17:30,2025/03/31,17:30,20250318-1433
A,Flachet - Alain Gilles,"Ascenseur n°182 direction Vaulx-en-Velin La Soie, accès cours Emile Zola",Ascenseur,182,Panne,Lundi 31 mars 2025 à 17:30,2025/03/31,17:30,20250318-1433
B,Stade de Gerland Le LOU,Escalier mécanique  de la mezzanine niveau Point Contact jusqu'au quai direction Charpennes,Escalier,,Panne,Dimanche 30 mars 2025 à 17:30,2025/03/30,17:30,20250318-1433
B,Stade de Gerland Le LOU,Escalier mécanique  de la mezzanine niveau Point Contact jusqu'à la sortie avenue Jean Jaurès,Escalier,,Panne,Dimanche 6 avril 2025 à 14:30,2025/04/06,14:30,20250318-1433
B,Place Jean Jaurès,Ascenseur n°462 direction Charpennes et accès avenue Jean Jaurès,Ascenseur,462,Panne,Dimanche 6 avril 2025 à 14:30,2025/04/06,14:30,20250318-1433
B,Place Jean Jaurès,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures,Escalier,,Panne,Jeudi 10 avril 2025 à 17:30,2025/04/10,17:30,20250318-1433
B,Place Jean Jaurès,Escalier mécanique  du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures,Escalier,,Panne,Jeudi 10 avril 2025 à 17:30,2025/04/10,17:30,20250318-1433
B,Debourg,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures,Escalier,,Panne,Mercredi 30 avril 2025 à 17:30,2025/04/30,17:30,20250318-1433
B,Debourg,Escalier mécanique  du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures,Escalier,,Panne,Mardi 15 avril 2025 à 17:30,2025/04/15,17:30,20250318-1433
B,Place Guichard,Ascenseur n°432 direction Charpennes et accès place Guichard,Ascenseur,432,Panne,Dimanche 23 mars 2025 à 16:00,2025/03/23,16:00,20250318-1433
B,Charpennes Charles Hernu,"Ascenseur n°212 du quai direction Vaulx-en-Velin La Soie, correspondance ligne B direction Gare d'Oullins et accès cours Emile Zola",Ascenseur,212,Panne,Mardi 25 mars 2025 à 17:30,2025/03/25,17:30,20250318-1433
C,Croix-Rousse,"Ascenseur n°572 direction Hôtel de Ville, correspondance avec le quai direction Cuire",Ascenseur,572,Panne,Mardi 18 mars 2025 à 16:30,2025/03/18,16:30,20250318-1433
C,Croix-Rousse,Escalier mécanique  du quai direction Hôtel de Ville jusqu'à la mezzanine,Escalier,,Panne,Lundi 31 mars 2025 à 17:30,2025/03/31,17:30,20250318-1433
D,Parilly,Escalier mécanique  du quai direction Gare de Vaise jusqu'à la sortie rue de La Fontaine,Escalier,,Panne,Mardi 1 avril 2025 à 15:30,2025/04/01,15:30,20250318-1433
D,Gare de Vénissieux,Escalier mécanique  de la mezzanine vers le quai de départ direction Gare de Vaise,Escalier,,Panne,Lundi 31 mars 2025 à 13:30,2025/03/31,13:30,20250318-1433
D,Valmy,Escalier mécanique  de la mezzanine jusqu'à la sortie place Valmy,Escalier,,Panne,Lundi 31 mars 2025 à 12:30,2025/03/31,12:30,20250318-1433
D,Valmy,Escalier mécanique  du quai central jusqu'à la mezzanine (sortie côté rue Sergent Michel Berthet),Escalier,,Panne,Mardi 18 mars 2025 à 15:00,2025/03/18,15:00,20250318-1433
D,Bellecour,Escalier mécanique  du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour,Escalier,,Panne,Lundi 31 mars 2025 à 19:30,2025/03/31,19:30,20250318-1433
D,Bellecour,Escalier mécanique  du by-pass de correspondance ligne D / ligne A jusqu'au quai ligne A direction Vaulx-en-Velin La Soie,Escalier,,Entretien programmé,Lundi 31 mars 2025 à 15:30,2025/03/31,15:30,20250318-1433
D,Bellecour,Escalier mécanique  du quai central jusqu'à la mezzanine sud (côté Antonin Poncet),Escalier,,Panne,Lundi 31 mars 2025 à 19:30,2025/03/31,19:30,20250318-1433
D,Bellecour,Escalier mécanique  de la mezzanine sud (côté Antonin Poncet) jusqu'à la sortie place Antonin Poncet (face à la Poste),Escalier,,Entretien programmé,Lundi 31 mars 2025 à 11:00,2025/03/31,11:00,20250318-1433
D,Gorge de Loup,"Ascenseur n°822 direction Gare de Vénissieux, correspondance quai direction Gare de Vaise, accès Gare Routière ou Gare SNCF et rue Sergent Michel Berthet",Ascenseur,822,Panne,Dimanche 6 avril 2025 à 16:00,2025/04/06,16:00,20250318-1433
D,Gorge de Loup,"Escalier mécanique  du quai direction Gare de Vaise jusqu'à la sortie sur le quai SNCF direction Sain- Bel, Brignais, Lauzanne",Escalier,,Entretien programmé,Lundi 31 mars 2025 à 15:30,2025/03/31,15:30,20250318-1433
D,Grange Blanche,"Ascenseur n°741 direction Gare de Vaise ou Gare de Vénissieux, accès mezzanine ou place d' Arsonval",Ascenseur,741,Panne,Mercredi 16 avril 2025 à 21:30,2025/04/16,21:30,20250318-1433
D,Grange Blanche,Escalier mécanique  de place d'Arsonval (descente de bus) jusqu'à la mezzanine face à la croissanterie,Escalier,,Entretien programmé,Mardi 18 mars 2025 à 16:00,2025/03/18,16:00,20250318-1433
D,Grange Blanche,Escalier mécanique  de la mezzanine côté hôpital Edouard Herriot jusqu'à la sortie Hôpital Edouard Herriot,Escalier,,Panne,Mercredi 30 avril 2025 à 07:30,2025/04/30,07:30,20250318-1433
D,Grange Blanche,Escalier mécanique  de la mezzanine jusqu'à la sortie place d' Arsonval (départ bus),Escalier,,Entretien programmé,Jeudi 1 mai 2025 à 16:30,2025/05/01,16:30,20250318-1433
D,Vieux Lyon Cat. St-Jean,"Escalier mécanique  de la mezzanine niveau -3 (correspondance ligne D direction Gare de Vaise ou Gare de Vénissieux) jusqu'à la mezzanine niveau Point Contact, accès rue du Doyenné.",Escalier,,Panne,Lundi 31 mars 2025 à 15:00,2025/03/31,15:00,20250318-1433
D,Sans Souci,Escalier mécanique  du quai direction Gare de Vénissieux jusqu'à la sortie cours Albert Thomas,Escalier,,Panne,Lundi 31 mars 2025 à 19:00,2025/03/31,19:00,20250318-1433
D,Monplaisir Lumière,Escalier mécanique  du quai direction Gare de Vénissieux jusqu'à la sortie cours Albert Thomas,Escalier,,Entretien programmé,Dimanche 30 mars 2025 à 09:30,2025/03/30,09:30,20250318-1433
