id;date_maj;code_lieu;code_station;nom_station;code_equipement;type_equipement;equipement;debut_indispo;cause;consequence;fin_indispo;gid;last_update_fme
1;2025-05-06 12:04:00;5004;41;Brotteaux;4101;ESCALIER;de la mezzanine jusqu'à la sortie Gare des Brotteaux;2025-04-22 00:00:00;Panne;.;2025-05-06 17:30:00;12311195;2025-05-06 12:05:03
2;2025-05-06 12:04:00;5102;21;Charpennes;2103;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la place Charles Hernu;2025-04-10 00:00:00;Panne;.;2025-05-13 17:30:00;12311196;2025-05-06 12:05:03
3;2025-05-06 12:04:00;5220;47;Debourg;4701;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2025-01-21 00:00:00;Panne;.;2025-05-30 17:30:00;12311197;2025-05-06 12:05:03
4;2025-05-06 12:04:00;5520;42;Gare Part-Dieu V.Merle;4206;ESCALIER;du quai direction Charpennes (par couloir de liaison direction gare de la Part Dieu) jusqu'à la mezzanine niveau Point Contact.;2025-04-15 00:00:00;Panne;.;2025-05-15 17:30:00;12311198;2025-05-06 12:05:03
5;2025-05-06 12:04:00;5160;45;Jean Macé;451;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès place Jean Macé;2025-05-05 00:00:00;Panne;Accès impossible direction Gare d'Oullins;2025-05-09 17:30:00;12311199;2025-05-06 12:05:03
6;2025-05-06 12:04:00;5160;45;Jean Macé;4501;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie place Jean Macé (côté rue Parmentier);2025-03-20 00:00:00;Panne;.;2025-05-20 17:30:00;12311200;2025-05-06 12:05:03
7;2025-05-06 12:04:00;5043;43;Place Guichard;431;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès place Guichard;2025-05-02 00:00:00;Entretien programmé;Accès impossible direction Gare d'Oullins;2025-08-02 12:30:00;12311201;2025-05-06 12:05:03
8;2025-05-06 12:04:00;5221;46;Place Jean Jaurès;462;ASCENSEUR;direction Charpennes et accès avenue Jean Jaurès;2025-03-25 00:00:00;Panne; Accès impossible direction Charpennes;2025-05-31 17:30:00;12311202;2025-05-06 12:05:03
9;2025-05-06 12:04:00;5221;46;Place Jean Jaurès;4601;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2025-04-10 00:00:00;Panne;.;2025-05-25 17:30:00;12311203;2025-05-06 12:05:03
10;2025-05-06 12:04:00;5221;46;Place Jean Jaurès;4602;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2025-03-25 00:00:00;Panne;.;2025-05-06 17:30:00;12311204;2025-05-06 12:05:03
11;2025-05-06 12:04:00;5092;44;Saxe - Gambetta;4401;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la mezzanine nord (niveau ligne D direction Gare de Vaise);2025-05-04 00:00:00;Panne;.;2025-05-07 17:30:00;12311205;2025-05-06 12:05:03
12;2025-05-06 12:04:00;5092;44;Saxe - Gambetta;4403;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la mezzanine sud (niveau sortie avenue Jean Jaurès);2025-04-07 00:00:00;Panne;.;2025-05-25 17:30:00;12311206;2025-05-06 12:05:03
13;2025-05-06 12:04:00;5092;44;Saxe - Gambetta;4404;ESCALIER;du quai direction Charpennes jusqu'à la mezzanine sud (niveau sortie avenue Jean Jaurès);2025-04-09 00:00:00;Panne;.;2025-05-25 17:30:00;12311207;2025-05-06 12:05:03
14;2025-05-06 12:04:00;5092;44;Saxe - Gambetta;4405;ESCALIER;de la mezzanine nord (niveau ligne D direction Gare de Vaise) jusqu'à la sortie angle avenue Jean Jaurès / avenue de Saxe;2025-05-06 00:00:00;Entretien programmé;.;2025-05-06 14:00:00;12311208;2025-05-06 12:05:03
15;2025-05-06 12:04:00;5092;44;Saxe - Gambetta;4406;ESCALIER;de la mezzanine sud  jusqu'à la sortie avenue Jean Jaurès;2025-04-07 00:00:00;Panne;.;2025-05-25 17:30:00;12311209;2025-05-06 12:05:03
16;2025-05-06 12:04:00;5200;48;Stade de Gerland Le LOU;481;ASCENSEUR;correspondance entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine;2025-04-10 00:00:00;Panne;Accès impossible direction Gare d'Oullins;2025-05-06 17:30:00;12311210;2025-05-06 12:05:03
17;2025-05-06 12:04:00;5200;48;Stade de Gerland Le LOU;4802;ESCALIER;de la mezzanine niveau Point Contact jusqu'au quai direction Charpennes;2025-04-13 00:00:00;Panne;.;2025-06-30 17:30:00;12311211;2025-05-06 12:05:03
18;2025-05-06 12:04:00;5200;48;Stade de Gerland Le LOU;4803;ESCALIER;de la mezzanine niveau Point Contact jusqu'à la sortie avenue Jean Jaurès;2025-05-02 00:00:00;Panne;.;2025-05-06 14:30:00;12311212;2025-05-06 12:05:03
19;2025-05-06 12:04:00;5002;26;Bellecour;2601;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour;2025-02-11 00:00:00;Panne;.;2025-05-25 19:30:00;12311213;2025-05-06 12:05:03
20;2025-05-06 12:04:00;5002;26;Bellecour;2603;ESCALIER;du by-pass de correspondance ligne D / ligne A jusqu'au quai ligne A direction Vaulx-en-Velin La Soie;2025-02-05 00:00:00;Entretien programmé;.;2025-05-15 15:30:00;12311214;2025-05-06 12:05:03
21;2025-05-06 12:04:00;5002;26;Bellecour;2605;ESCALIER;du quai central jusqu'à la mezzanine niveau Point Contact;2025-04-22 00:00:00;Entretien programmé;.;2025-05-15 08:30:00;12311215;2025-05-06 12:05:03
22;2025-05-06 12:04:00;5002;26;Bellecour;2606;ESCALIER;du quai central jusqu'à la mezzanine sud (côté Antonin Poncet);2025-02-11 00:00:00;Panne;.;2025-05-31 19:30:00;12311216;2025-05-06 12:05:03
23;2025-05-06 12:04:00;5002;26;Bellecour;2607;ESCALIER;du quai central jusqu'à la mezzanine sud (côté Antonin Poncet);2025-04-18 00:00:00;Entretien programmé;.;2025-05-15 14:00:00;12311217;2025-05-06 12:05:03
24;2025-05-06 12:04:00;5002;26;Bellecour;2608;ESCALIER;de la mezzanine sud (côté Antonin Poncet) jusqu'à la sortie place Antonin Poncet (face à la Poste);2025-02-11 00:00:00;Entretien programmé;.;2025-05-11 11:00:00;12311218;2025-05-06 12:05:03
25;2025-05-06 12:04:00;5002;26;Bellecour;2612;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour;2025-05-06 00:00:00;Panne;.;2025-05-06 12:30:00;12311219;2025-05-06 12:05:03
26;2025-05-06 12:04:00;5104;70;Gare de Vénissieux;7001;ESCALIER;de la mezzanine vers le quai de départ direction Gare de Vaise;2025-04-08 00:00:00;Entretien programmé;.;2025-05-31 12:00:00;12311220;2025-05-06 12:05:03
