id;date_maj;code_lieu;code_station;nom_station;code_equipement;type_equipement;equipement;debut_indispo;cause;consequence;fin_indispo;gid;last_update_fme
20;2025-05-12 08:54:00;5200;48;Stade de Gerland Le LOU;4802;ESCALIER;de la mezzanine niveau Point Contact jusqu'au quai direction Charpennes;2025-04-13 00:00:00;Panne;.;2025-06-30 17:30:00;12408681;2025-05-12 08:55:02
21;2025-05-12 08:54:00;5002;26;Bellecour;2607;ESCALIER;du quai central jusqu'à la mezzanine sud (côté Antonin Poncet);2025-04-18 00:00:00;Entretien programmé;.;2025-05-15 14:00:00;12408682;2025-05-12 08:55:02
22;2025-05-12 08:54:00;5002;26;Bellecour;2606;ESCALIER;du quai central jusqu'à la mezzanine sud (côté Antonin Poncet);2025-02-11 00:00:00;Panne;.;2025-05-31 19:30:00;12408683;2025-05-12 08:55:02
23;2025-05-12 08:54:00;5002;26;Bellecour;2605;ESCALIER;du quai central jusqu'à la mezzanine niveau Point Contact;2025-04-22 00:00:00;Entretien programmé;.;2025-05-15 08:30:00;12408684;2025-05-12 08:55:02
24;2025-05-12 08:54:00;5002;26;Bellecour;2601;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour;2025-02-11 00:00:00;Panne;.;2025-05-31 19:30:00;12408685;2025-05-12 08:55:02
25;2025-05-12 08:54:00;5002;26;Bellecour;2608;ESCALIER;de la mezzanine sud (côté Antonin Poncet) jusqu'à la sortie place Antonin Poncet (face à la Poste);2025-02-11 00:00:00;Entretien programmé;.;2025-05-31 18:30:00;12408686;2025-05-12 08:55:02
26;2025-05-12 08:54:00;5103;84;Gare de Vaise;849;ASCENSEUR;Parc Relais, ascenseur de gauche;2025-05-12 00:00:00;Panne;.;2025-05-12 09:00:00;12408687;2025-05-12 08:55:02
27;2025-05-12 08:54:00;5104;70;Gare de Vénissieux;7001;ESCALIER;de la mezzanine vers le quai de départ direction Gare de Vaise;2025-04-08 00:00:00;Entretien programmé;.;2025-05-31 12:00:00;12408688;2025-05-12 08:55:02
28;2025-05-12 08:54:00;5181;77;Garibaldi;7701;ESCALIER;du quai direction Gare de Vaise jusqu'à la mezzanine;2025-04-27 00:00:00;Panne;.;2025-05-16 10:30:00;12408689;2025-05-12 08:55:02
29;2025-05-12 08:54:00;5181;77;Garibaldi;7702;ESCALIER;du quai direction Gare de Vénissieux jusqu'à la mezzanine;2024-11-17 00:00:00;Entretien programmé;.;2025-05-31 20:30:00;12408690;2025-05-12 08:55:02
30;2025-05-12 08:54:00;5040;82;Gorge de Loup;821;ASCENSEUR;direction Gare de Vaise, accès Gare Routière ou Parc Relais;2025-05-10 00:00:00;Panne;Accès impossible direction Gare de Vaise.;2025-06-02 10:00:00;12408691;2025-05-12 08:55:02
31;2025-05-12 08:54:00;5040;82;Gorge de Loup;822;ASCENSEUR;direction Gare de Vénissieux, correspondance quai direction Gare de Vaise, accès Gare Routière ou Gare SNCF et rue Sergent Michel Berthet;2025-04-28 00:00:00;Entretien programmé;Accès impossible direction Gare de Vénissieux;2025-05-17 18:30:00;12408692;2025-05-12 08:55:02
32;2025-05-12 08:54:00;5040;82;Gorge de Loup;8205;ESCALIER;sortie Place Basse (côté agence commerciale) niveau Parc Relais, jusqu'à la mezzanine niveau départ gare de bus, rue Sergent Michel Berthet;2025-03-21 00:00:00;Panne;.;2025-06-30 10:30:00;12408693;2025-05-12 08:55:02
33;2025-05-12 08:54:00;5041;74;Grange Blanche;7401;ESCALIER;de place d'Arsonval (descente de bus) jusqu'à la mezzanine face à la croissanterie;2025-03-18 00:00:00;Entretien programmé;.;2025-06-15 15:30:00;12408694;2025-05-12 08:55:02
34;2025-05-12 08:54:00;5041;74;Grange Blanche;7402;ESCALIER;de la mezzanine côté hôpital Edouard Herriot jusqu'à la sortie Hôpital Edouard Herriot;2024-12-13 00:00:00;Panne;.;2025-06-30 07:30:00;12408695;2025-05-12 08:55:02
35;2025-05-12 08:54:00;5041;74;Grange Blanche;7405;ESCALIER;de la mezzanine (face à l'ascenseur) jusqu'au quai central (direction Gare de Vénissieux ou Gare de Vaise);2025-05-08 00:00:00;Panne;.;2025-05-15 02:00:00;12408696;2025-05-12 08:55:02
36;2025-05-12 08:54:00;5044;79;Guillotière Gabriel Péri;792;ASCENSEUR;direction Gare de Vénissieux, correspondance quai direction Gare de Vaise;2025-05-11 00:00:00;Panne; Accès impossible direction Gare de Vénissieux;2025-05-19 02:30:00;12408697;2025-05-12 08:55:02
37;2025-05-12 08:54:00;5062;73;Laennec;7301;ESCALIER;du quai direction Gare de Vaise jusqu'à la sortie rue Guillaume Paradin;2025-02-25 00:00:00;Entretien programmé;.;2025-06-15 19:30:00;12408698;2025-05-12 08:55:02
38;2025-05-12 08:54:00;5062;73;Laennec;7302;ESCALIER;du quai direction Gare de Vénissieux jusqu'à la sortie rue Guillaume Paradin;2025-04-04 00:00:00;Entretien programmé;.;2025-05-17 17:30:00;12408699;2025-05-12 08:55:02
39;2025-05-12 08:54:00;5082;72;Mermoz - Pinel;721;ASCENSEUR;direction Gare de Vaise, accès avenue Jean Mermoz;2025-05-11 00:00:00;Panne;Accès impossible direction Gare de Vaise;2025-05-20 23:30:00;12408700;2025-05-12 08:55:02
40;2025-05-12 08:54:00;5083;75;Monplaisir Lumière;7502;ESCALIER;du quai direction Gare de Vénissieux jusqu'à la sortie cours Albert Thomas;2025-01-13 00:00:00;Entretien programmé;.;2025-05-30 09:30:00;12408701;2025-05-12 08:55:02
41;2025-05-12 08:54:00;5084;71;Parilly;7101;ESCALIER;du quai direction Gare de Vaise jusqu'à la sortie rue de La Fontaine;2025-04-05 00:00:00;Entretien programmé;.;2025-05-31 17:00:00;12408702;2025-05-12 08:55:02
42;2025-05-12 08:54:00;5091;76;Sans Souci;7602;ESCALIER;du quai direction Gare de Vénissieux jusqu'à la sortie cours Albert Thomas;2025-05-07 00:00:00;Entretien programmé;.;2025-05-14 17:00:00;12408703;2025-05-12 08:55:02
43;2025-05-12 08:54:00;5094;83;Valmy;8302;ESCALIER;de la mezzanine jusqu'à la sortie place Valmy;2025-04-30 00:00:00;Entretien programmé;.;2025-07-14 13:00:00;12408704;2025-05-12 08:55:02
44;2025-05-12 08:54:00;5095;81;Vieux Lyon;8107;ESCALIER;de la mezzanine niveau -3 (correspondance ligne D direction Gare de Vaise ou Gare de Vénissieux) jusqu'à la mezzanine niveau Point Contact, accès rue du Doyenné.;2025-04-17 00:00:00;Panne;.;2025-05-17 20:30:00;12408705;2025-05-12 08:55:02
