Date màj;Code lieu;Code station;Nom station;Code équipement;Type équipement;Equipement;Début indispo;Cause;Conséquence;Fin indispo
2025-01-30 22:19:00;5102;21;Charpennes;211;ASCENSEUR;du quai direction Perrache, correspondance ligne B direction St-Genis-Laval Hôp. Sud et accès cours Emile Zola;2025-01-29;Panne;Accès direct ligne A direction Perrache impossible. Emprunter l'ascenseur numéro 213 accès quai de départ ligne B et revenir par le couloir de liaison;2025-01-31 00:30:00
2025-01-30 22:19:00;5102;21;Charpennes;2101;ESCALIER;du quai direction Perrache ou direction St-Genis-Laval Hôpital Lyon Sud par le couloir de liaison jusqu'à la sortie Place Charles Hernu;2025-01-11;Panne;.;2025-01-31 17:30:00
2025-01-30 22:19:00;5220;47;Debourg;472;ASCENSEUR;direction Charpennes et accès avenue Jean Jaurès;2025-01-29;Accès fermé pour travaux; Accès impossible direction Charpennes;2025-01-31 00:30:00
2025-01-30 22:19:00;5220;47;Debourg;4701;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2025-01-21;Panne;.;2025-04-04 17:30:00
2025-01-30 22:19:00;5220;47;Debourg;4702;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2024-11-12;Panne;.;2025-02-07 17:30:00
2025-01-30 22:19:00;5520;42;Gare Part-Dieu V.Merle;4205;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud (par couloir de liaison direction gare de la Part Dieu) jusqu'à la mezzanine niveau Point Contact.;2025-01-09;Panne;.;2025-03-21 17:30:00
2025-01-30 22:19:00;5520;42;Gare Part-Dieu V.Merle;4210;ESCALIER;de la sortie de la gare de la Part Dieu jusqu'à la mezzanine niveau Point Contact (par couloir de liaison);2025-01-30;Panne;.;2025-02-07 14:30:00
2025-01-30 22:19:00;5936;51;Oullins Centre;513;ASCENSEUR;entre la mezzanine supérieure et la place Anatole France;2024-11-07;Entretien programmé;connexion impossible entre la mezzanine supérieure et la place Anatole France, et correspondance impossible avec les ascenseurs reliant les quais et la mezzanine supérieure;2025-02-04 12:00:00
2025-01-30 22:19:00;5043;43;Place Guichard;431;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès place Guichard;2024-12-24;Panne;Accès impossible direction Gare d'Oullins;2025-02-28 17:30:00
2025-01-30 22:19:00;5221;46;Place Jean Jaurès;4601;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2024-10-09;Panne;.;2025-01-31 17:30:00
2025-01-30 22:19:00;5221;46;Place Jean Jaurès;4602;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2024-11-02;Panne;.;2025-02-28 17:30:00
2025-01-30 22:19:00;5092;44;Saxe - Gambetta;4405;ESCALIER;de la mezzanine nord (niveau ligne D direction Gare de Vaise) jusqu'à la sortie angle avenue Jean Jaurès / avenue de Saxe;2025-01-29;Vandalisme;.;2025-01-31 00:30:00
2025-01-30 22:19:00;5200;48;Stade de Gerland Le LOU;4802;ESCALIER;de la mezzanine niveau Point Contact jusqu'au quai direction Charpennes;2024-10-23;Panne;.;2025-03-28 17:30:00
2025-01-30 22:19:00;5002;26;Bellecour;263;ASCENSEUR;direction Gare de Vaise ou Gare de Vénissieux, correspondance Ligne A direction Perrache ou Vaulx-en-Velin La Soie;2025-01-28;Entretien programmé;Accès impossible ligne D;2025-01-31 18:00:00
2025-01-30 22:19:00;5002;26;Bellecour;264;ASCENSEUR;direction Vaulx-en-Velin La Soie, accès rue de la République;2025-01-13;Panne;Pour accès et correspondances métros A et D, utiliser les autres ascenseurs en passant par la surface;2025-01-31 23:30:00
2025-01-30 22:19:00;5002;26;Bellecour;2607;ESCALIER;du quai central jusqu'à la mezzanine sud (côté Antonin Poncet);2025-01-10;Entretien programmé;.;2025-01-31 00:00:00
2025-01-30 22:19:00;5104;70;Gare de Vénissieux;7003;ESCALIER;de la mezzanine vers la passerelle SNCF;2025-01-05;Panne;.;2025-02-06 11:30:00
2025-01-30 22:19:00;5040;82;Gorge de Loup;821;ASCENSEUR;direction Gare de Vaise, accès Gare Routière ou Parc Relais;2025-01-02;Panne;Accès impossible direction Gare de Vaise.;2025-02-15 20:30:00
2025-01-30 22:19:00;5040;82;Gorge de Loup;8205;ESCALIER;sortie Place Basse (côté agence commerciale) niveau Parc Relais, jusqu'à la mezzanine niveau départ gare de bus, rue Sergent Michel Berthet;2024-12-12;Panne;.;2025-02-15 15:00:00
2025-01-30 22:19:00;5041;74;Grange Blanche;7402;ESCALIER;de la mezzanine côté hôpital Edouard Herriot jusqu'à la sortie Hôpital Edouard Herriot;2024-12-13;Panne;.;2025-01-31 07:30:00
2025-01-30 22:19:00;5044;79;Guillotière Gabriel Péri;793;ASCENSEUR;correspondance entre la mezzanine et la Grande rue de la Guillotière;2025-01-29;Panne; Accès station impossible;2025-01-31 08:00:00
2025-01-30 22:19:00;5082;72;Mermoz - Pinel;7202;ESCALIER;du quai direction Gare de Vénissieux jusqu'à la mezzanine;2025-01-29;Panne;.;2025-01-31 00:30:00
2025-01-30 22:19:00;5084;71;Parilly;7101;ESCALIER;du quai direction Gare de Vaise jusqu'à la sortie rue de La Fontaine;2025-01-23;Panne;.;2025-02-23 15:30:00
2025-01-30 22:19:00;5091;76;Sans Souci;761;ASCENSEUR;direction Gare de Vaise, accès cours Albert Thomas;2025-01-28;Entretien programmé;Accès impossible direction Gare de Vaise.;2025-02-07 12:30:00
2025-01-30 22:19:00;5091;76;Sans Souci;7601;ESCALIER;du quai direction gare de Vaise jusqu'à la sortie rue des Tuiliers / cours Albert Thomas;2025-01-29;Accès fermé pour travaux;.;2025-01-31 00:30:00
2025-01-30 22:19:00;5091;76;Sans Souci;7602;ESCALIER;du quai direction Gare de Vénissieux jusqu'à la sortie cours Albert Thomas;2024-12-17;Panne;.;2025-01-31 19:00:00
2025-01-30 22:19:00;5095;81;Vieux Lyon;8107;ESCALIER;de la mezzanine niveau -3 (correspondance ligne D direction Gare de Vaise ou Gare de Vénissieux) jusqu'à la mezzanine niveau Point Contact, accès rue du Doyenné.;2024-12-07;Panne;.;2025-02-28 15:00:00
