date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
13/01/2025;09:25;30/05/2025;;D;Montplaisir Lumiere  ;Esc.7502;Chaine de marches + marches + MC;Usure;escalier;2025;;;7502.0
14/01/2025;14:18;17/02/2025;20:15;D;Guillotière;Esc. 7901;Defaut plaque porte peigne ;Panne;escalier;2025;821.95;34.24791666666667;7901.0
16/01/2025;11:56;30/01/2025;15:31;C;Croix rousse ;Asc. 572 ;Vitre porte paliere cassée ;Vandalisme ;ascenseur;2025;339.5833333333333;14.149305555555555;572.0
16/01/2025;15:58;23/01/2025;18:37;A;Ampère;Esc. 2702;Defaut peigne ;Panne;escalier;2025;170.65;7.110416666666667;2702.0
17/01/2025;15:42;19/01/2025;12:56;D;Saxe Gambetta;Asc. 443;Pb ouverture de porte serrure HS ;Panne;ascenseur;2025;45.233333333333334;1.8847222222222222;443.0
17/01/2025;12:28;22/01/2025;17:45;B;HLS;Esc. 5204;Defaut peigne ;Panne;escalier;2025;125.28333333333333;5.220138888888889;5204.0
17/01/2025;18:13;20/01/2025;05:02;D;Gorge de loup;Esc. 8201;Defaut peigne ;Panne;escalier;2025;58.81666666666667;2.4506944444444447;8201.0
20/01/2025;05:13;24/01/2025;14:56;B;Jean Jaures ;Asc.461;Probleme fermeture portes;Mauvaise utilisation;ascenseur;2025;105.71666666666667;4.404861111111111;461.0
21/01/2025;16:49;23/01/2025;12:49;B;Charpennes ;Asc. 213;Reprise reglages portes suite desincarceration;Panne;ascenseur;2025;44.0;1.8333333333333333;213.0
21/01/2025;17:25;24/01/2025;05:00;D;Bellecour;Asc. 261;Porte cabine forcée;Mauvaise utilisation;ascenseur;2025;59.583333333333336;2.482638888888889;261.0
21/01/2025;12:48;23/01/2025;11:02;A;Brotteaux;Asc. 412;Contacts levée de frein HS;Panne;ascenseur;2025;46.233333333333334;1.926388888888889;412.0
21/01/2025;14:39;01/02/2025;06:18;C;Croix rousse ;Asc. 571;Problème de cellule toute hauteur nétoyage essai remise en service ;Audit;ascenseur;2025;255.65;10.652083333333334;571.0
21/01/2025;17:25;24/01/2025;16:00;D;Fourvière;Asc. 911;Contacteur moteur HS;Panne;ascenseur;2025;70.58333333333333;2.940972222222222;911.0
21/01/2025;11:30;30/05/2025;;B;Debourg;Esc. 4701;Empilement de marches ;Panne;escalier;2025;;;4701.0
21/01/2025;08:00;21/01/2025;14:00;B;OCE;Esc. 5107;EXPERTISE TECHNIQUE SUITE ACCIDENT 2023;Audit;escalier;2025;6.0;0.25;5107.0
21/01/2025;01:19;23/01/2025;18:38;D;Gare de vénissieux ;Esc. 7001;Défaut de trappe paliere station d'netrainement ou de retournement réglage contact.;Panne;escalier;2025;65.31666666666666;2.7215277777777778;7001.0
22/01/2025;09:00;26/01/2025;13:30;A;Bellecour;Esc. 2612;courroie d’adhérence du côté droit de l’entraînement de la main courante défectueuse;Usure;escalier;2025;100.5;4.1875;2612.0
23/01/2025;07:00;27/01/2025;10:20;T4;Manufacture ;Asc. 971;Défaut cellule de porte cabine;Panne;ascenseur;2025;99.33333333333333;4.138888888888888;971.0
23/01/2025;13:25;01/04/2025;;D;Parilly;Esc. 7101;chaîne d’entraînement de mains courantes G et D et le pignons D inférieur de déflexion  HS;Usure;escalier;2025;;;7101.0
24/01/2025;07:50;26/01/2025;14:30;A;Foch;Esc. 2302;Reprise reglage plaque porte peigne;Usure;escalier;2025;54.666666666666664;2.2777777777777777;2302.0
28/01/2025;09:48;03/02/2025;15:25;D;Bellecour;Asc. 263;Porte cabine forcée;Mauvaise utilisation;ascenseur;2025;149.61666666666667;6.234027777777778;263.0
29/01/2025;13:15;30/01/2025;11:45;D;Montplaisir Lumiere  ;Asc. 752;Coulisseaux haut droit HS;Usure;ascenseur;2025;22.5;0.9375;752.0
