Date màj;Code lieu;Code station;Nom station;Code équipement;Type équipement;Equipement;Début indispo;Cause;Conséquence;Fin indispo
2025-01-09 00:44:00;5102;21;Charpennes;212;ASCENSEUR;du quai direction Vaulx-en-Velin La Soie, correspondance ligne B direction Gare d'Oullins et accès cours Emile Zola;2025-01-09;Panne;Accès impossible direction Vaulx-en-Velin La Soie, correspondance ligne A direction Vaulx-en-Velin La Soie / ligne B impossible;2025-01-09 02:30:00
2025-01-09 00:44:00;5220;47;Debourg;472;ASCENSEUR;direction Charpennes et accès avenue Jean Jaurès;2024-12-31;Panne; Accès impossible direction Charpennes;2025-02-01 21:30:00
2025-01-09 00:44:00;5220;47;Debourg;4702;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2024-11-12;Panne;.;2025-02-01 07:30:00
2025-01-09 00:44:00;5904;50;Gare d'Oullins;501;ASCENSEUR;correspondance entre le quai d'arrivée et la mezzanine;2025-01-09;Panne;Sortie de la station impossible;2025-01-09 02:30:00
2025-01-09 00:44:00;5904;50;Gare d'Oullins;503;ASCENSEUR;correspondance entre la mezzanine et la rue côté Quai 1;2025-01-09;Panne;Accès à la station et accès SNCF impossibles;2025-01-09 02:30:00
2025-01-09 00:44:00;5520;42;Gare Part-Dieu V.Merle;4210;ESCALIER;de la sortie de la gare de la Part Dieu jusqu'à la mezzanine niveau Point Contact (par couloir de liaison);2024-10-28;Panne;.;2025-01-31 12:30:00
2025-01-09 00:44:00;5936;51;Oullins Centre;513;ASCENSEUR;entre la mezzanine supérieure et la place Anatole France;2024-11-07;Entretien programmé;connexion impossible entre la mezzanine supérieure et la place Anatole France, et correspondance impossible avec les ascenseurs reliant les quais et la mezzanine supérieure;2025-02-04 12:00:00
2025-01-09 00:44:00;5936;51;Oullins Centre;511;ASCENSEUR;entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2025-01-09;Panne;connexion impossible entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2025-01-09 02:30:00
2025-01-09 00:44:00;5936;51;Oullins Centre;5107;ESCALIER;entre la mezzanine supérieure et la place Anatole France côté rue Voltaire;2025-01-03;Panne;emprunter l'autre escalier mécanique si disponible (escalier n°5105 entre la mezzanine supérieure et la place Anatole France côté rue de la République);2025-01-09 10:30:00
2025-01-09 00:44:00;5043;43;Place Guichard;431;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès place Guichard;2024-12-24;Panne;Accès impossible direction Gare d'Oullins;2025-02-28 23:30:00
2025-01-09 00:44:00;5221;46;Place Jean Jaurès;4601;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2024-10-09;Panne;.;2025-01-31 21:00:00
2025-01-09 00:44:00;5221;46;Place Jean Jaurès;4602;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2024-11-02;Panne;.;2025-01-31 22:30:00
2025-01-09 00:44:00;5200;48;Stade de Gerland Le LOU;481;ASCENSEUR;correspondance entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine;2025-01-09;Panne;Accès impossible direction Gare d'Oullins;2025-01-09 02:30:00
2025-01-09 00:44:00;5200;48;Stade de Gerland Le LOU;483;ASCENSEUR;correspondance entre la mezzanine et l'avenue Jean Jaurès;2025-01-09;Panne; Accès station impossible;2025-01-09 02:30:00
2025-01-09 00:44:00;5200;48;Stade de Gerland Le LOU;4802;ESCALIER;de la mezzanine niveau Point Contact jusqu'au quai direction Charpennes;2024-10-23;Panne;.;2025-01-31 11:30:00
2025-01-09 00:44:00;5937;52;St-Genis Hôp. Lyon Sud;521;ASCENSEUR;entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la surface;2025-01-09;Panne;sortie impossible de la station;2025-01-09 02:30:00
2025-01-09 00:44:00;5002;26;Bellecour;262;ASCENSEUR;direction Perrache, correspondance ligne D direction Gare de Vaise ou Gare de Vénissieux;2025-01-09;Panne;Accès impossible ligne A direction Perrache.  Correspondance impossible Ligne D direction Gare de Vénissieux ou Gare de vaise / Ligne A direction Perrache;2025-01-09 02:30:00
2025-01-09 00:44:00;5002;26;Bellecour;265;ASCENSEUR;mezzanine sur quai ligne D;2025-01-09;Panne;Pour accès et correspondances métros A et D, utiliser les autres ascenseurs en passant par la surface;2025-01-09 02:30:00
2025-01-09 00:44:00;5002;26;Bellecour;2607;ESCALIER;du quai central jusqu'à la mezzanine sud (côté Antonin Poncet);2025-01-08;Accès fermé pour travaux;.;2025-01-09 03:00:00
2025-01-09 00:44:00;5002;26;Bellecour;2608;ESCALIER;de la mezzanine sud (côté Antonin Poncet) jusqu'à la sortie place Antonin Poncet (face à la Poste);2025-01-08;Panne;.;2025-01-09 03:00:00
